Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Armando Bacot,F,39,39,31.6,6.3,11.0,.569,0.0,0.2,.125,6.2,10.8,.577,.570,3.7,5.6,.670,4.2,8.9,13.1,1.5,0.8,1.7,2.0,2.9,16.3,,armando-bacot-1
2,Caleb Love,G,39,38,34.2,5.1,13.7,.371,2.4,6.6,.360,2.7,7.1,.380,.458,3.4,3.9,.863,0.2,3.2,3.4,3.6,0.9,0.3,2.7,1.7,15.9,,caleb-love-1
3,Brady Manek,F,39,27,30.4,5.6,11.4,.493,2.5,6.2,.403,3.1,5.2,.602,.604,1.4,1.9,.697,1.5,4.6,6.1,1.8,0.6,0.7,1.5,1.7,15.1,,brady-manek-1
4,RJ Davis,G,39,39,33.9,4.6,10.7,.425,1.7,4.6,.367,2.9,6.1,.469,.504,2.7,3.2,.833,0.6,3.7,4.3,3.6,1.0,0.2,1.9,2.2,13.5,,rj-davis-1
5,Dawson Garcia,F,16,12,20.6,2.9,7.3,.405,0.8,2.0,.375,2.2,5.3,.417,.457,2.4,3.0,.792,2.1,3.4,5.5,0.7,0.4,0.3,1.3,2.1,9.0,,dawson-garcia-1
6,Leaky Black,G,38,38,29.7,1.8,3.8,.466,0.4,1.3,.333,1.3,2.5,.537,.524,0.9,1.0,.868,1.3,3.0,4.3,2.7,0.9,0.6,1.0,1.7,4.9,,rechon-black-1
7,Kerwin Walton,G,31,1,13.3,1.2,3.3,.373,0.7,2.1,.354,0.5,1.2,.405,.485,0.2,0.2,1.000,0.2,1.0,1.2,0.4,0.2,0.1,0.6,1.1,3.4,,kerwin-walton-1
8,Puff Johnson,G,24,0,10.4,1.2,2.5,.459,0.3,1.1,.231,0.9,1.5,.629,.508,0.5,0.8,.722,0.8,1.2,2.0,0.5,0.3,0.2,0.1,1.1,3.1,,puff-johnson-1
9,Anthony Harris,G,14,0,11.7,0.9,1.9,.481,0.2,0.4,.600,0.7,1.6,.455,.537,0.6,0.6,.889,0.1,0.2,0.4,0.6,0.1,0.0,0.8,1.2,2.6,,anthony-harris-10
10,Dontrez Styles,G,30,0,5.8,0.8,1.8,.436,0.1,0.6,.167,0.7,1.2,.568,.464,0.3,0.5,.533,0.4,1.1,1.4,0.1,0.2,0.1,0.4,0.5,2.0,,dontrez-styles-1
11,D'Marco Dunn,G,23,0,4.1,0.4,1.3,.290,0.1,0.7,.200,0.3,0.7,.375,.339,0.0,0.1,.333,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,1.0,,dmarco-dunn-1
12,Justin McKoy,F,30,0,7.0,0.3,1.2,.222,0.1,0.4,.231,0.2,0.8,.217,.264,0.4,0.5,.800,0.4,1.0,1.4,0.5,0.1,0.1,0.4,1.0,1.0,,justin-mckoy-1
13,Duwe Farris,F,6,0,1.7,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.2,0.3,.500,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.5,0.8,,duwe-farris-1
14,Jackson Watkins,G,3,0,1.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.3,0.7,.500,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.7,0.3,,jackson-watkins-1
15,Creighton Lebo,G,5,0,1.6,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,,creighton-lebo-1
16,Rob Landry,G,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,rob-landry-1
17,Ryan McAdoo,F,7,1,2.0,0.0,0.4,.000,0.0,0.1,.000,0.0,0.3,.000,.000,0.0,0.0,,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.3,0.0,,ryan-mcadoo-1
,Team Totals,,39,,40.4,27.6,61.8,.447,8.4,23.5,.358,19.2,38.3,.501,.515,14.3,18.7,.764,11.5,29.8,41.3,14.9,5.2,3.9,11.7,14.5,77.9,,-9999